City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather,Rain inches (last 3hrs),Snow inches (last 3hrs)
0,Rikitea,PF,2020-05-10 17:30:30,-23.12,-134.97,75.36,73,5,9.73,clear sky,0,0
1,Yellowknife,CA,2020-05-10 17:27:55,62.46,-114.35,30.2,54,20,6.93,few clouds,0,0
2,Staryy Nadym,RU,2020-05-10 17:28:40,65.61,72.68,44.42,88,2,7.54,clear sky,0,0
3,Hobart,AU,2020-05-10 17:27:25,-42.88,147.33,50.0,71,40,9.17,scattered clouds,0,0
4,Nizhniy Bestyakh,RU,2020-05-10 17:30:30,61.96,129.91,30.2,74,99,6.71,overcast clouds,0,0
5,Punta Arenas,CL,2020-05-10 17:30:30,-53.15,-70.92,44.6,93,90,14.99,overcast clouds,0,0
6,Bluff,NZ,2020-05-10 17:30:31,-46.6,168.33,50.58,81,34,9.22,scattered clouds,0,0
7,Guerrero Negro,MX,2020-05-10 17:30:31,27.98,-114.06,71.49,57,26,10.09,scattered clouds,0,0
8,Weihai,CN,2020-05-10 17:30:31,37.5,122.11,55.76,68,0,10.38,clear sky,0,0
9,Cape Town,ZA,2020-05-10 17:26:17,-33.93,18.42,62.01,93,0,2.24,mist,0,0
10,Longyearbyen,SJ,2020-05-10 17:30:29,78.22,15.64,21.2,53,40,10.29,scattered clouds,0,0
11,Sur,OM,2020-05-10 17:30:32,22.57,59.53,83.7,55,0,5.03,clear sky,0,0
12,Puerto Ayora,EC,2020-05-10 17:30:32,-0.74,-90.35,86.0,66,20,13.87,few clouds,0,0
13,Harnosand,SE,2020-05-10 17:28:17,62.63,17.94,42.8,60,99,9.17,overcast clouds,0,0
14,Hermanus,ZA,2020-05-10 17:30:32,-34.42,19.23,59.0,87,0,2.64,clear sky,0,0
15,Popondetta,PG,2020-05-10 17:30:32,-8.75,148.25,74.07,93,82,1.72,broken clouds,0,0
16,Kapaa,US,2020-05-10 17:30:33,22.08,-159.32,75.2,73,90,13.87,overcast clouds,0,0
17,Souillac,MU,2020-05-10 17:30:33,-20.52,57.52,73.4,64,40,11.41,scattered clouds,0,0
18,Nikolskoye,RU,2020-05-10 17:30:33,59.7,30.79,57.99,30,0,4.47,clear sky,0,0
19,Dolores,AR,2020-05-10 17:29:43,-36.31,-57.68,69.51,56,0,12.59,clear sky,0,0
20,Mounana,GA,2020-05-10 17:30:33,-1.41,13.16,77.0,94,20,5.03,few clouds,0,0
21,Bereda,ES,2020-05-10 17:30:33,43.27,-7.54,60.01,92,82,4.0,light rain,0,0
22,Mataura,NZ,2020-05-10 17:30:33,-46.19,168.86,44.83,88,38,3.09,scattered clouds,0,0
23,Alofi,NU,2020-05-10 17:30:34,-19.06,-169.92,77.0,100,41,8.05,scattered clouds,0,0
24,Boyolangu,ID,2020-05-10 17:30:34,-8.12,111.89,76.87,91,97,3.51,light rain,0,0
25,Filingue,NE,2020-05-10 17:30:34,14.35,3.32,100.69,14,39,6.6,scattered clouds,0,0
26,Nantucket,US,2020-05-10 17:29:18,41.28,-70.1,53.01,43,1,28.86,clear sky,0,0
27,Kabanjahe,ID,2020-05-10 17:30:34,3.1,98.49,78.8,100,40,3.36,light rain,0,0
28,Laguna,US,2020-05-10 17:29:29,38.42,-121.42,68.0,63,1,10.29,clear sky,0,0
29,Thinadhoo,MV,2020-05-10 17:30:35,0.53,72.93,85.6,76,100,13.33,light rain,0,0
30,Krasnyy Chikoy,RU,2020-05-10 17:30:35,50.36,108.75,49.84,78,96,13.15,light rain,0,0
31,Chuy,UY,2020-05-10 17:30:35,-33.7,-53.46,73.63,51,37,10.51,scattered clouds,0,0
32,Bambous Virieux,MU,2020-05-10 17:30:35,-20.34,57.76,73.4,64,40,11.41,scattered clouds,0,0
33,Fort William,GB,2020-05-10 17:30:35,56.82,-5.11,46.99,62,92,5.99,overcast clouds,0,0
34,Tual,ID,2020-05-10 17:30:36,-5.67,132.75,83.5,79,90,15.9,light rain,0,0
35,Sibolga,ID,2020-05-10 17:30:36,1.74,98.78,78.57,83,99,3.2,overcast clouds,0,0
36,Albany,US,2020-05-10 17:29:00,42.6,-73.97,55.4,32,75,13.87,broken clouds,0,0
37,Georgetown,MY,2020-05-10 17:30:14,5.41,100.34,78.8,100,40,3.36,scattered clouds,0,0
38,New Norfolk,AU,2020-05-10 17:30:36,-42.78,147.06,48.0,86,82,3.69,broken clouds,0,0
39,Kachiry,KZ,2020-05-10 17:30:36,53.07,76.1,66.85,36,0,2.84,clear sky,0,0
40,Busselton,AU,2020-05-10 17:30:37,-33.65,115.33,46.99,69,80,2.68,broken clouds,0,0
41,Kalat,PK,2020-05-10 17:30:37,29.02,66.59,68.88,22,21,2.1,few clouds,0,0
42,Ulaanbaatar,MN,2020-05-10 17:30:37,47.91,106.88,41.0,44,76,2.24,broken clouds,0,0
43,Tuatapere,NZ,2020-05-10 17:30:37,-46.13,167.68,51.04,80,100,6.04,overcast clouds,0,0
44,Kisangani,CD,2020-05-10 17:30:37,0.52,25.2,73.13,90,100,0.27,overcast clouds,0,0
45,Paamiut,GL,2020-05-10 17:30:37,61.99,-49.67,40.17,85,100,26.78,overcast clouds,0,0
46,Iqaluit,CA,2020-05-10 17:30:38,63.75,-68.51,28.4,63,90,19.46,light snow,0,0
47,Cherskiy,RU,2020-05-10 17:30:38,68.75,161.3,34.0,86,0,20.94,clear sky,0,0
48,Hilo,US,2020-05-10 17:30:38,19.73,-155.09,68.0,68,1,6.93,clear sky,0,0
49,Airai,TL,2020-05-10 17:30:38,-8.93,125.41,56.44,100,6,3.11,clear sky,0,0
50,Port-Cartier,CA,2020-05-10 17:30:38,50.03,-66.87,46.0,42,75,19.46,broken clouds,0,0
51,Huarmey,PE,2020-05-10 17:30:39,-10.07,-78.15,73.76,68,39,10.22,scattered clouds,0,0
52,Fort Nelson,CA,2020-05-10 17:30:34,58.81,-122.7,48.2,45,75,11.41,broken clouds,0,0
53,Tiarei,PF,2020-05-10 17:30:39,-17.53,-149.33,77.0,83,20,3.36,few clouds,0,0
54,Touros,BR,2020-05-10 17:30:07,-5.2,-35.46,86.0,66,20,13.87,few clouds,0,0
55,Tuktoyaktuk,CA,2020-05-10 17:30:40,69.45,-133.04,33.8,80,75,14.99,broken clouds,0,0
56,Nioro,GM,2020-05-10 17:30:40,13.35,-15.75,97.48,23,80,15.32,broken clouds,0,0
57,Butaritari,KI,2020-05-10 17:30:40,3.07,172.79,82.76,78,24,7.67,few clouds,0,0
58,Hirara,JP,2020-05-10 17:30:40,24.8,125.28,78.87,88,37,10.42,light rain,0,0
59,Bronnoysund,NO,2020-05-10 17:30:40,65.46,12.2,39.2,60,75,10.29,shower rain,0,0
60,Dicabisagan,PH,2020-05-10 17:30:40,17.08,122.42,79.88,77,53,2.48,broken clouds,0,0
61,Nouadhibou,MR,2020-05-10 17:30:40,20.93,-17.03,68.74,75,80,26.53,broken clouds,0,0
62,Ibague,CO,2020-05-10 17:29:29,4.44,-75.23,80.6,61,75,6.38,broken clouds,0,0
63,Noumea,NC,2020-05-10 17:26:01,-22.28,166.46,71.01,100,1,2.24,clear sky,0,0
64,Ancud,CL,2020-05-10 17:30:41,-41.87,-73.82,57.0,76,40,10.29,scattered clouds,0,0
65,Hay River,CA,2020-05-10 17:30:34,60.82,-115.8,42.8,52,20,9.17,few clouds,0,0
66,Ewo,CG,2020-05-10 17:30:41,-0.87,14.82,73.06,89,90,5.28,overcast clouds,0,0
67,Kutum,SD,2020-05-10 17:30:41,14.2,24.67,75.65,18,19,3.96,few clouds,0,0
68,Wiwili,NI,2020-05-10 17:30:42,13.63,-85.83,85.84,59,100,3.6,light rain,0,0
69,Flagstaff,US,2020-05-10 17:27:22,35.2,-111.65,77.0,34,20,12.75,few clouds,0,0
70,Nijar,ES,2020-05-10 17:26:52,36.97,-2.21,68.0,60,40,29.97,scattered clouds,0,0
71,Broome,US,2020-05-10 17:30:42,42.25,-75.83,54.0,39,90,13.87,overcast clouds,0,0
