,City,Country,Max Temp,Current Weather,Lat,Lng,Hotel Name
0,Rikitea,PF,75.36,clear sky,-23.12,-134.97,Pension Maro'i
7,Guerrero Negro,MX,71.49,scattered clouds,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
15,Popondetta,PG,74.07,broken clouds,-8.75,148.25,Timos Transit House
16,Kapaa,US,75.2,overcast clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
17,Souillac,MU,73.4,scattered clouds,-20.52,57.52,Bils' Villa
19,Dolores,AR,69.51,clear sky,-36.31,-57.68,Apart Hotel - Arianos
20,Mounana,GA,77.0,few clouds,-1.41,13.16,
23,Alofi,NU,77.0,scattered clouds,-19.06,-169.92,Taloa Heights
24,Boyolangu,ID,76.87,light rain,-8.12,111.89,Yos ega cv
27,Kabanjahe,ID,78.8,light rain,3.1,98.49,Pelindung Bawah Losmen
28,Laguna,US,68.0,clear sky,38.42,-121.42,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
31,Chuy,UY,73.63,scattered clouds,-33.7,-53.46,Nuevo Hotel Plaza
32,Bambous Virieux,MU,73.4,scattered clouds,-20.34,57.76,Casa Tia Villa
35,Sibolga,ID,78.57,overcast clouds,1.74,98.78,Hotel Syariah CN Darussalam
37,Georgetown,MY,78.8,scattered clouds,5.41,100.34,Cititel Penang
39,Kachiry,KZ,66.85,clear sky,53.07,76.1,"Ночной клуб BasMax, Гостиница , Ресторан , Магазин-автозап. сто вулканизатор ,"
41,Kalat,PK,68.88,few clouds,29.02,66.59,Sarwary Hotel
44,Kisangani,CD,73.13,overcast clouds,0.52,25.2,Grand Ramela Hotel
48,Hilo,US,68.0,clear sky,19.73,-155.09,Hilo Hawaiian Hotel
51,Huarmey,PE,73.76,scattered clouds,-10.07,-78.15,Hotel Miramar
53,Tiarei,PF,77.0,few clouds,-17.53,-149.33,Le Rocher de Tahiti
58,Hirara,JP,78.87,light rain,24.8,125.28,Hotel Atoll Emerald Miyakojima
60,Dicabisagan,PH,79.88,broken clouds,17.08,122.42,
61,Nouadhibou,MR,68.74,broken clouds,20.93,-17.03,El Medina
63,Noumea,NC,71.01,clear sky,-22.28,166.46,Hôtel Le Lagon
66,Ewo,CG,73.06,overcast clouds,-0.87,14.82,Residence Elonda Ewo
67,Kutum,SD,75.65,few clouds,14.2,24.67,Dibbo areaمنطقة دبو
69,Flagstaff,US,77.0,few clouds,35.2,-111.65,Drury Inn & Suites Flagstaff
70,Nijar,ES,68.0,scattered clouds,36.97,-2.21,La Casa del Cine
73,College,US,66.0,broken clouds,64.86,-147.8,Pike's Waterfront Lodge
75,Khandbari,NP,69.62,scattered clouds,27.37,87.2,नेवारी फाष्टफुड एण्ड लज
76,Plettenberg Bay,ZA,68.95,clear sky,-34.05,23.37,Thanda Vista B&B
