City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Cape Town,ZA,-33.93,18.42,64.99,93,100,8.05
1,Mocuba,MZ,-16.84,36.99,64.26,96,99,3.44
2,Redmond,US,47.67,-122.12,57.99,72,39,1.95
3,Geraldton,AU,-28.77,114.6,59.0,72,90,8.05
4,Bud,US,39.45,-86.18,57.99,40,1,12.75
5,Pacific Grove,US,36.62,-121.92,73.4,63,1,5.82
6,Jalu,LY,29.03,21.55,74.82,19,0,7.31
7,Cabo San Lucas,MX,22.89,-109.91,88.0,44,5,2.24
8,Rockland,US,41.17,-74.05,53.01,63,100,3.0
9,Alekseyevsk,RU,57.84,108.35,36.39,90,100,10.27
10,Busselton,AU,-33.65,115.33,50.0,70,63,7.9
11,Vaini,TO,-21.2,-175.2,77.0,100,75,5.82
12,Airai,TL,-8.93,125.41,61.21,100,45,3.4
13,Hobart,AU,-42.88,147.33,51.8,81,100,5.82
14,Ingham,US,42.6,-84.38,59.0,22,1,11.41
15,Mataura,NZ,-46.19,168.86,52.25,72,100,6.71
16,Ponta Do Sol,PT,32.67,-17.1,66.2,72,40,5.82
17,Ulladulla,AU,-35.35,150.47,59.0,67,88,10.29
18,Bluff,NZ,-46.6,168.33,53.55,83,96,25.05
19,Baixa Grande,BR,-11.96,-40.17,81.36,67,74,5.06
20,Upernavik,GL,72.79,-56.15,22.01,93,96,6.38
21,Atuona,PF,-9.8,-139.03,80.76,74,29,17.38
22,Sungairaya,ID,0.7,108.9,79.48,86,98,3.49
23,Ushuaia,AR,-54.8,-68.3,39.2,80,100,2.24
24,Kodiak,US,57.79,-152.41,44.6,87,90,12.75
25,Pitimbu,BR,-7.47,-34.81,78.8,94,40,4.7
26,Castro,BR,-24.79,-50.01,61.56,92,100,8.03
27,Topolobampo,MX,25.6,-109.05,91.99,43,40,6.93
28,Tarakan,ID,3.3,117.63,81.86,81,2,1.05
29,Albany,US,42.6,-73.97,57.99,34,100,3.94
30,Tabou,CI,4.42,-7.35,81.79,83,100,6.4
31,Klamath Falls,US,42.22,-121.78,55.99,29,1,4.7
32,Rikitea,PF,-23.12,-134.97,74.34,63,95,12.59
33,Port Alfred,ZA,-33.59,26.89,65.73,79,81,4.5
34,Coos Bay,US,43.37,-124.22,62.01,71,20,3.36
35,Touros,BR,-5.2,-35.46,84.2,74,40,13.87
36,Comodoro Rivadavia,AR,-45.87,-67.5,62.6,48,100,8.05
37,Severo-Kurilsk,RU,50.68,156.12,33.22,91,39,15.3
38,Talnakh,RU,69.49,88.4,28.4,92,75,4.47
39,Punta Arenas,CL,-53.15,-70.92,44.01,93,90,4.7
40,Georgetown,MY,5.41,100.34,84.2,94,20,3.67
41,Okhansk,RU,57.72,55.39,62.6,39,98,8.95
42,Saldanha,ZA,-33.01,17.94,64.4,63,80,2.24
43,Alanya,TR,36.54,32.0,65.84,74,72,2.26
44,San Carlos De Bariloche,AR,-41.15,-71.31,55.99,65,0,3.36
45,Luwuk,ID,-0.95,122.79,79.27,78,20,1.07
46,Yar-Sale,RU,66.83,70.83,18.39,96,0,5.84
47,Sao Joao Da Barra,BR,-21.64,-41.05,87.8,48,40,6.93
48,Muzhi,RU,65.37,64.67,29.77,97,100,4.27
49,Dandong,CN,40.13,124.39,56.28,39,100,4.21
50,Kaitangata,NZ,-46.28,169.85,57.0,49,95,10.0
51,Korsakov,RU,46.63,142.78,32.0,90,90,2.08
52,Vila Franca Do Campo,PT,37.72,-25.43,64.4,93,75,5.82
53,Nueve De Julio,AR,-35.44,-60.88,64.0,51,0,4.0
54,Beloha,MG,-25.17,45.05,65.03,93,0,4.23
55,Qaanaaq,GL,77.48,-69.36,16.2,90,100,1.66
56,Puerto Ayora,EC,-0.74,-90.35,82.4,74,20,12.75
57,Vao,NC,-22.67,167.48,71.64,74,100,24.74
58,Hilo,US,19.73,-155.09,78.8,57,75,3.15
59,Dikson,RU,73.51,80.55,3.15,94,4,8.48
60,Marrakesh,MA,31.63,-8.01,82.4,39,75,12.75
61,Yellowknife,CA,62.46,-114.35,44.6,45,75,9.17
62,New Norfolk,AU,-42.78,147.06,50.0,68,100,2.82
63,Taree,AU,-31.9,152.47,48.2,100,40,3.47
64,Pevek,RU,69.7,170.31,27.09,88,100,14.45
65,Messina,IT,38.19,15.55,73.4,43,40,5.82
66,Barrow,US,71.29,-156.79,10.4,85,90,12.75
67,Avarua,CK,-21.21,-159.78,80.6,88,22,8.05
68,Jamestown,US,42.1,-79.24,46.4,45,75,13.87
69,Hachinohe,JP,40.5,141.5,48.2,81,75,8.05
70,Bethel,US,41.37,-73.41,53.01,50,90,10.29
71,Turbat,PK,26.0,63.04,85.35,32,82,1.28
72,Thompson,CA,55.74,-97.86,30.2,39,5,8.05
73,Carnarvon,AU,-24.87,113.63,61.79,65,0,21.81
74,East London,ZA,-33.02,27.91,68.59,74,93,3.51
75,Nampa,US,43.54,-116.56,59.0,54,75,10.29
76,Sinnamary,GF,5.38,-52.95,80.02,88,100,10.11
77,Verkhnetulomskiy,RU,68.61,31.8,39.2,69,40,4.47
78,Neuquen,AR,-38.95,-68.06,62.6,36,65,3.36
79,Tura,IN,25.52,90.22,74.5,63,0,2.24
80,Coahuayana,MX,18.73,-103.68,86.0,48,40,11.41
81,Lakhi,PK,27.85,68.7,84.2,54,0,4.7
82,Qixia,CN,37.3,120.83,54.0,64,13,4.14
83,Russas,BR,-4.94,-37.98,87.73,65,36,4.52
84,Faanui,PF,-16.48,-151.75,82.4,76,36,13.69
85,Nuzvid,IN,16.78,80.85,83.71,76,6,8.95
86,Vardo,NO,70.37,31.11,39.2,80,40,6.93
87,Akyab,MM,20.15,92.9,82.67,82,0,14.05
88,Longyearbyen,SJ,78.22,15.64,33.8,74,75,17.22
89,Sao Filipe,CV,14.9,-24.5,76.62,67,32,13.8
90,Yerbogachen,RU,61.28,108.01,27.3,97,100,11.07
91,Amuntai,ID,-2.42,115.25,77.05,91,8,2.15
92,Huaiyuan,CN,32.97,117.2,63.27,91,100,10.74
93,Nikolskoye,RU,59.7,30.79,52.0,46,100,8.95
94,Lac Du Bonnet,CA,50.25,-96.06,48.0,35,0,12.41
95,Arraial Do Cabo,BR,-22.97,-42.03,84.2,69,16,4.7
96,Sitka,US,57.05,-135.33,55.4,43,90,13.87
97,Iqaluit,CA,63.75,-68.51,21.2,73,75,5.82
98,La Tuque,CA,47.43,-72.78,52.63,40,22,6.22
99,Shakawe,BW,-18.37,21.85,63.9,29,0,5.46
100,Butaritari,KI,3.07,172.79,82.87,79,9,11.36
101,Kalmunai,LK,7.42,81.82,80.38,84,95,5.88
102,Porto Novo,BJ,6.5,2.6,83.73,80,43,8.19
103,Kupang,ID,-10.17,123.58,79.48,85,52,11.7
104,Kautokeino,NO,69.01,23.04,33.71,89,97,20.67
105,Torbay,CA,47.67,-52.73,42.8,70,75,16.11
106,Port Elizabeth,ZA,-33.92,25.57,60.8,100,77,2.24
107,Asau,RO,46.43,26.4,46.0,63,84,19.98
108,Waingapu,ID,-9.66,120.26,78.26,86,11,7.83
109,Daru,PG,-9.08,143.21,79.0,78,92,15.84
110,Broome,US,42.25,-75.83,50.0,52,90,3.36
111,Bredasdorp,ZA,-34.53,20.04,62.6,88,97,8.05
112,Mar Del Plata,AR,-38.0,-57.56,57.99,62,75,13.87
113,Kapaa,US,22.08,-159.32,73.4,88,90,18.34
114,Tiznit,MA,29.58,-9.5,70.99,57,100,5.26
115,Mareeba,AU,-17.0,145.43,69.8,88,90,11.41
116,Vestmanna,FO,62.16,-7.17,46.4,87,45,8.05
117,Vigrestad,NO,58.57,5.7,50.0,81,40,14.99
118,Skibbereen,IE,51.55,-9.27,50.0,93,75,14.99
119,Azanka,RU,58.04,64.79,58.3,58,0,4.45
120,Bengkulu,ID,-3.8,102.27,78.26,90,100,4.27
121,Phuket,TH,8.0,98.25,82.4,83,40,4.7
122,Nhulunbuy,AU,-12.23,136.77,75.2,73,35,5.82
123,Houma,US,29.6,-90.72,82.0,30,1,12.75
124,Tarauaca,BR,-8.16,-70.77,95.18,42,74,1.68
125,Saint-Philippe,RE,-21.36,55.77,75.2,78,90,3.36
126,Matay,EG,28.42,30.78,72.93,26,0,9.08
127,Berlevag,NO,70.86,29.09,35.73,84,24,16.87
128,Kavaratti,IN,10.57,72.64,85.93,72,26,5.57
129,Gazanjyk,TM,39.24,55.52,83.75,27,100,26.93
130,Rapid City,US,44.08,-103.23,60.01,38,20,3.36
131,Tuktoyaktuk,CA,69.45,-133.04,23.0,79,90,12.75
132,Nakusp,CA,50.25,-117.8,39.99,96,100,3.0
133,Hovd,MN,48.01,91.64,38.93,61,99,1.54
134,Lewistown,US,40.6,-77.57,45.0,100,90,8.05
135,Chuy,UY,-33.7,-53.46,59.05,62,85,13.4
